127.0.0.1 - - [21/Feb/2025:17:11:15 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/ HTTP/1.1" 200 54559
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/lib/animate/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/hero.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/about-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/about-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/about-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/lib/wow/wow.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/lib/counterup/counterup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/lib/waypoints/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/lib/tempusdominus/js/moment-timezone.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/lib/tempusdominus/js/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/menu-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/menu-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/menu-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/menu-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/menu-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/menu-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/menu-7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/menu-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/team-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/team-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/testimonial-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/team-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/team-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:17 +0530] "GET /RestroProject/img/testimonial-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:18 +0530] "GET /RestroProject/img/testimonial-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:18 +0530] "GET /RestroProject/img/testimonial-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:18 +0530] "GET /RestroProject/img/video.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:18 +0530] "GET /RestroProject/img/bg-hero.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:18 +0530] "GET /RestroProject/img/favicon.ico HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:29 +0530] "GET /RestroProject/service.jsp HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:31 +0530] "POST /RestroProject/ReadServiceModule HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:31 +0530] "GET /RestroProject/service.jsp HTTP/1.1" 200 14086
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:53 +0530] "GET /RestroProject/adminlogin.jsp HTTP/1.1" 200 2022
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:53 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:59 +0530] "POST /RestroProject/AdminLoginServlet1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:11:59 +0530] "GET /RestroProject/admin.jsp HTTP/1.1" 200 1978
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:12:04 +0530] "GET /RestroProject/addService.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:12:31 +0530] "POST /RestroProject/ServiceModuleServlet1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:12:31 +0530] "GET /RestroProject/addService.jsp HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:12:48 +0530] "GET /RestroProject/ HTTP/1.1" 200 54559
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:12:50 +0530] "GET /RestroProject/ HTTP/1.1" 200 54559
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:12:52 +0530] "GET /RestroProject/service.jsp HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:12:52 +0530] "POST /RestroProject/ReadServiceModule HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:17:12:52 +0530] "GET /RestroProject/service.jsp HTTP/1.1" 200 14548
